label,feature
6,1:1 34:1.0 42:1.0 43:1.0 26:1.0 85:1.0 254:1.0 255:1.0 4023:1.0 28855:1.0 28856:1.0 28857:1.0 92:1.0 841:1.0 860:1.0 381:1.0 101:0.5 99:1.0 685:1.0 1372:1.0 1373:1.0 38793:1.0 38794:1.0 38795:1.0 38796:1.0 38797:1.0 38798:1.0 38799:1.0 703:1.0 1980:1.0 10119:1.0 38814:1.0 38815:1.0 38816:1.0 38817:1.0 38818:1.0 38819:1.0 158:1.0 12956:0.5 12956:0.5 58311:1.0 38899:1.0 1112:0.5 1113:0.5 618:1.0 212:1.0 214:1.0 
4,6:1 236:1.0 260:1.0 28858:1.0 26:1.0 85:1.0 86:1.0 834:1.0 835:1.0 856:1.0 3477:1.0 3478:1.0 275:1.0 819:1.0 820:1.0 383:1.0 98:1.0 103:0.5 96:1.0 685:1.0 3247:1.0 8540:1.0 9620:1.0 9621:1.0 7260:1.0 12914:1.0 12915:1.0 12916:1.0 58295:1.0 38848:1.0 1077:0.5 1077:0.5 12958:1.0 12978:1.0 12979:1.0 197:0.5 198:0.5 204:1.0 212:1.0 215:1.0 
7,4:1 236:1.0 839:1.0 859:1.0 264:1.0 265:1.0 811:1.0 812:1.0 813:1.0 814:1.0 815:1.0 816:1.0 44:1.0 1321:1.0 1322:1.0 100:1.0 95:1.0 683:0.5 99:1.0 413:1.0 460:1.0 12937:1.0 12937:1.0 12938:1.0 1550:0.5 1551:0.5 1552:1.0 1118:1.0 1119:1.0 1120:0.5 190:0.5 216:1.0 
4,7:1 272:1.0 817:1.0 818:1.0 26:1.0 27:1.0 47:1.0 1314:1.0 1315:1.0 1316:1.0 1317:1.0 1318:1.0 350:1.0 868:1.0 869:1.0 97:1.0 98:1.0 389:1.0 106:1.0 404:1.0 1382:1.0 1383:1.0 1384:1.0 1385:1.0 1386:1.0 446:1.0 483:1.0 1438:1.0 1439:1.0 1440:1.0 1441:1.0 1043:1.0 1043:1.0 1494:1.0 1094:0.5 1094:0.5 97038:1.0 1600:1.0 1601:1.0 1602:0.5 1603:0.5 618:1.0 128917:1.0 
9,4:1 34:1.0 1319:1.0 1320:1.0 264:1.0 340:1.0 672:1.0 861:1.0 862:1.0 863:1.0 864:1.0 865:1.0 327:1.0 1203:1.0 3707:1.0 100:1.0 388:1.0 683:0.8333333333333334 391:0.6666666666666666 101:0.5 381:0.3333333333333333 888:0.16666666666666666 104:1.0 398:1.0 954:1.0 955:1.0 956:1.0 451:1.0 1024:1.0 1025:1.0 1495:1.0 1496:1.0 97035:1.0 1137:1.0 1138:1.0 748:0.5 749:0.5 204:1.0 212:1.0 217:1.0 
3,9:1 347:1.0 866:1.0 867:1.0 71:1.0 317:1.0 1195:1.0 1196:1.0 3167:1.0 3703:1.0 14329:1.0 28053:1.0 275:1.0 296:1.0 297:1.0 390:1.0 103:1.0 98:0.5 96:1.0 107:1.0 429:1.0 430:1.0 431:1.0 6245:1.0 13808:1.0 148:1.0 1398:1.0 13824:1.0 44115:1.0 44120:1.0 1060:1.0 1060:1.0 545:0.5 545:0.5 1108:0.5 1109:0.5 204:1.0 61233:1.0 776:1.0 
7,3:1 324:1.0 1201:1.0 3706:1.0 264:1.0 265:1.0 288:1.0 289:1.0 290:1.0 291:1.0 292:1.0 293:1.0 105:1.0 95:1.0 419:1.0 467:1.0 7643:1.0 178:1.0 591:1.0 592:1.0 593:0.5 190:0.5 775:1.0 
20,25:1 26:1.0 27:1.0 47:1.0 1314:1.0 3132:1.0 3214:1.0 4147:1.0 5950:1.0 251:1.0 4441:1.0 4442:1.0 98:1.0 389:1.0 396:1.0 697:1.0 25178:1.0 25179:1.0 38953:1.0 107919:1.0 1415:1.0 14697:1.0 14698:1.0 152:1.0 4578:0.5 4578:0.5 4644:0.5 4645:0.5 203:1.0 52811:1.0 213:1.0 
2,20:1 34:1.0 1319:1.0 3217:1.0 71:1.0 241:1.0 298:1.0 4434:1.0 4435:1.0 4436:1.0 4437:1.0 4438:1.0 251:1.0 1193:1.0 4706:1.0 100:1.0 388:1.0 379:0.875 384:0.75 391:0.625 1331:0.5 98:0.375 683:0.25 103:0.125 104:1.0 398:1.0 109:1.0 420:1.0 421:1.0 4485:1.0 446:1.0 483:1.0 1438:1.0 4509:1.0 4859:0.5 4859:0.5 14721:1.0 4622:1.0 4623:1.0 197:0.5 198:0.5 204:1.0 212:1.0 214:1.0 
3,2:1 248:1.0 4439:1.0 4440:1.0 71:1.0 241:1.0 242:1.0 1186:1.0 4701:1.0 4702:1.0 4703:1.0 4704:1.0 251:1.0 8754:1.0 81028:1.0 390:1.0 103:1.0 1329:1.0 107:1.0 404:1.0 897:1.0 4770:1.0 144:1.0 145:1.0 3800:1.0 4536:1.0 4536:1.0 14709:1.0 4900:1.0 4901:1.0 748:0.5 749:0.5 204:1.0 212:1.0 215:1.0 
10,3:1 248:1.0 1191:1.0 4705:1.0 71:1.0 241:1.0 330:1.0 8747:1.0 20852:1.0 20853:1.0 20854:1.0 20855:1.0 92:1.0 262:1.0 7513:1.0 105:1.0 391:1.0 388:0.6666666666666666 888:0.3333333333333333 382:1.0 4039:1.0 4040:1.0 4041:1.0 957:1.0 8764:1.0 16715:1.0 16716:1.0 148:1.0 44714:1.0 4824:1.0 4824:1.0 7635:0.5 7635:0.5 1108:0.5 1109:0.5 204:1.0 216:1.0 
6,10:1 248:1.0 8752:1.0 20856:1.0 26:1.0 85:1.0 254:1.0 255:1.0 7508:1.0 7509:1.0 7510:1.0 7511:1.0 275:1.0 11479:1.0 11480:1.0 1330:1.0 381:1.0 98:0.6666666666666666 391:0.3333333333333333 107:1.0 936:1.0 7537:1.0 7538:1.0 7539:1.0 1026:1.0 2748:1.0 7569:1.0 7570:1.0 14286:0.5 14286:0.5 7662:1.0 7663:1.0 197:0.5 198:0.5 204:1.0 212:1.0 
7,6:1 236:1.0 260:1.0 7512:1.0 264:1.0 265:1.0 288:1.0 11472:1.0 11473:1.0 11474:1.0 11475:1.0 11476:1.0 92:1.0 1253:1.0 1898:1.0 383:1.0 2250:1.0 419:1.0 11491:1.0 467:1.0 11514:1.0 7604:1.0 7604:1.0 43564:0.5 43564:0.5 14310:1.0 14311:1.0 14312:0.5 586:0.5 
6,7:1 272:1.0 11477:1.0 11478:1.0 26:1.0 85:1.0 1245:1.0 1246:1.0 1893:1.0 1894:1.0 1895:1.0 1896:1.0 92:1.0 841:1.0 2660:1.0 684:1.0 99:1.0 107:1.0 109:1.0 1937:1.0 41137:1.0 2312:1.0 43531:1.0 43532:1.0 14268:1.0 14268:1.0 43575:1.0 43576:1.0 2099:0.5 2100:0.5 204:1.0 765:1.0 212:1.0 
4,6:1 236:1.0 1251:1.0 1897:1.0 26:1.0 85:1.0 86:1.0 834:1.0 1677:1.0 2656:1.0 7921:1.0 7922:1.0 853:1.0 15279:1.0 15280:1.0 2251:1.0 98:1.0 389:1.0 395:1.0 697:1.0 698:1.0 27054:1.0 703:1.0 704:1.0 114602:1.0 114603:1.0 43546:1.0 43546:1.0 15369:0.5 15369:0.5 197:0.5 198:0.5 204:1.0 212:1.0 
9,4:1 236:1.0 839:1.0 2659:1.0 264:1.0 843:1.0 2206:1.0 13005:1.0 13006:1.0 13007:1.0 13008:1.0 13009:1.0 1223:1.0 1224:1.0 51710:1.0 100:1.0 388:1.0 391:0.5 887:1.0 398:1.0 423:1.0 4044:1.0 5374:1.0 13041:1.0 13042:1.0 148:1.0 4075:1.0 8929:1.0 13080:1.0 13081:1.0 61213:0.5 51756:0.5 68446:1.0 13214:1.0 1116:0.5 1117:0.5 204:1.0 
8,9:1 850:1.0 13010:1.0 13011:1.0 57:1.0 1213:1.0 1214:1.0 1215:1.0 51705:1.0 51706:1.0 51707:1.0 51708:1.0 44:1.0 1321:1.0 3202:1.0 390:1.0 101:1.0 103:0.5 395:1.0 399:1.0 4996:1.0 51719:1.0 444:1.0 1985:1.0 1986:1.0 13126:1.0 13126:1.0 3377:0.5 3377:0.5 61226:1.0 51773:1.0 600:0.5 601:0.5 618:1.0 212:1.0 641:1.0 6802:1.0 
20,8:1 1220:1.0 1221:1.0 51709:1.0 26:1.0 27:1.0 47:1.0 1314:1.0 3197:1.0 3198:1.0 3199:1.0 3200:1.0 44:1.0 377:1.0 378:1.0 682:1.0 396:1.0 1372:1.0 3241:1.0 3242:1.0 984:1.0 2302:1.0 3285:1.0 61200:1.0 51745:1.0 3397:0.5 3397:0.5 3425:1.0 3426:1.0 748:0.5 749:0.5 204:1.0 4146:1.0 
11,20:1 34:1.0 1319:1.0 3201:1.0 26:1.0 27:1.0 47:1.0 372:1.0 373:1.0 374:1.0 3219:1.0 3220:1.0 2289:1.0 3253:1.0 142:1.0 3295:1.0 3333:1.0 3333:1.0 4117:1.0 178:1.0 3439:1.0 3440:1.0 3441:0.5 3442:0.5 621:1.0 17677:1.0 3591:1.0 
3,25:1 71:1.0 821:1.0 1226:1.0 4448:1.0 4449:1.0 4450:1.0 4451:1.0 4452:1.0 327:1.0 1243:1.0 1244:1.0 103:1.0 387:1.0 106:1.0 909:1.0 910:1.0 4497:1.0 4498:1.0 451:1.0 456:1.0 3822:1.0 3823:1.0 152:1.0 126227:1.0 1521:0.5 1521:0.5 26480:1.0 9450:1.0 4635:1.0 197:0.5 198:0.5 1831:1.0 26736:1.0 213:1.0 
2,3:1 828:1.0 4453:1.0 4454:1.0 71:1.0 317:1.0 318:1.0 1236:1.0 1237:1.0 1238:1.0 1239:1.0 1240:1.0 68:1.0 69:1.0 70:1.0 105:1.0 379:1.0 99:1.0 395:1.0 109:1.0 1354:1.0 143:1.0 1406:1.0 4550:1.0 4550:1.0 26460:1.0 171:0.5 171:0.5 1579:1.0 1580:1.0 744:0.5 745:0.5 204:1.0 212:1.0 214:1.0 
2,2:1 324:1.0 1241:1.0 1242:1.0 57:1.0 58:1.0 59:1.0 60:1.0 61:1.0 62:1.0 63:1.0 64:1.0 327:1.0 4171:1.0 4172:1.0 380:1.0 98:1.0 101:0.6666666666666666 102:0.3333333333333333 104:1.0 122:1.0 143:1.0 1466:1.0 1466:1.0 191:1.0 192:1.0 193:0.5 194:0.5 204:1.0 215:1.0 3651:1.0 
3,2:1 65:1.0 66:1.0 67:1.0 71:1.0 317:1.0 1195:1.0 4164:1.0 4165:1.0 4166:1.0 4167:1.0 4168:1.0 327:1.0 1243:1.0 1244:1.0 100:1.0 103:1.0 387:1.0 106:1.0 936:1.0 2283:1.0 9136:1.0 9137:1.0 451:1.0 2742:1.0 49591:1.0 49592:1.0 162:1.0 162:1.0 1521:0.5 1521:0.5 1116:0.5 1117:0.5 204:1.0 34971:1.0 216:1.0 219:1.0 
2,3:1 324:1.0 4169:1.0 4170:1.0 71:1.0 317:1.0 318:1.0 1236:1.0 1237:1.0 1238:1.0 1239:1.0 1240:1.0 105:1.0 379:1.0 395:1.0 109:1.0 1354:1.0 143:1.0 1406:1.0 51768:1.0 178:1.0 1579:1.0 1580:1.0 744:0.5 745:0.5 204:1.0 212:1.0 218:1.0 
3,25:1 71:1.0 241:1.0 330:1.0 331:1.0 332:1.0 790:1.0 12382:1.0 12383:1.0 327:1.0 1891:1.0 4462:1.0 389:1.0 107:1.0 434:1.0 435:1.0 97658:1.0 1026:1.0 1412:1.0 1413:1.0 135095:1.0 135096:1.0 152:1.0 4595:0.5 4595:0.5 577:0.5 578:0.5 617:1.0 28246:1.0 213:1.0 
14,3:1 248:1.0 336:1.0 793:1.0 71:1.0 317:1.0 353:1.0 645:1.0 4457:1.0 4458:1.0 4459:1.0 4460:1.0 327:1.0 1203:1.0 7798:1.0 388:1.0 683:0.8 391:0.6 381:0.4 98:0.2 1329:1.0 398:1.0 109:1.0 2942:1.0 4499:1.0 1415:1.0 2006:1.0 2007:1.0 39632:0.5 7868:0.5 6408:1.0 4637:1.0 748:0.5 749:0.5 204:1.0 212:1.0 214:1.0 3652:1.0 
10,14:1 324:1.0 650:1.0 4461:1.0 71:1.0 317:1.0 1195:1.0 1196:1.0 3191:1.0 7794:1.0 7795:1.0 7796:1.0 92:1.0 809:1.0 2167:1.0 390:1.0 391:1.0 101:0.6666666666666666 381:0.3333333333333333 99:1.0 1332:1.0 909:1.0 910:1.0 2278:1.0 7812:1.0 703:1.0 704:1.0 7827:1.0 7828:1.0 4553:1.0 4553:1.0 39651:1.0 7890:1.0 596:0.5 597:0.5 618:1.0 212:1.0 215:1.0 3651:1.0 
4,10:1 324:1.0 1201:1.0 7797:1.0 26:1.0 85:1.0 230:1.0 802:1.0 803:1.0 2163:1.0 16782:1.0 16783:1.0 1330:1.0 98:1.0 106:1.0 404:1.0 3237:1.0 21756:1.0 124417:1.0 124418:1.0 148:1.0 1398:1.0 1399:1.0 42119:1.0 39617:1.0 7849:1.0 178:1.0 1116:0.5 1117:0.5 204:1.0 7906:1.0 212:1.0 216:1.0 219:1.0 
5,25:1 26:1.0 220:1.0 652:1.0 653:1.0 654:1.0 655:1.0 656:1.0 657:1.0 92:1.0 841:1.0 7485:1.0 379:1.0 101:0.5 99:1.0 395:1.0 423:1.0 689:1.0 690:1.0 446:1.0 483:1.0 484:1.0 152:1.0 11890:1.0 27954:0.5 27954:0.5 27955:1.0 2452:1.0 747:1.0 600:0.5 601:0.5 617:1.0 30356:1.0 774:1.0 213:1.0 
4,5:1 227:1.0 658:1.0 659:1.0 26:1.0 85:1.0 86:1.0 834:1.0 1677:1.0 7481:1.0 27867:1.0 27868:1.0 327:1.0 1891:1.0 13989:1.0 380:1.0 98:1.0 103:0.5 389:1.0 398:1.0 954:1.0 1363:1.0 1364:1.0 1365:1.0 16526:1.0 27880:1.0 27881:1.0 144:1.0 961:1.0 13839:1.0 27901:1.0 27902:1.0 27903:1.0 27904:1.0 2352:1.0 719:1.0 27927:1.0 32028:0.5 32028:0.5 27985:1.0 27986:1.0 1108:0.5 1109:0.5 204:1.0 212:1.0 214:1.0 
9,4:1 236:1.0 839:1.0 7484:1.0 71:1.0 317:1.0 353:1.0 645:1.0 646:1.0 13985:1.0 31925:1.0 31926:1.0 1223:1.0 16493:1.0 17823:1.0 100:1.0 388:1.0 381:0.75 98:0.5 391:0.25 99:1.0 398:1.0 423:1.0 5586:1.0 31933:1.0 31934:1.0 31940:1.0 31941:1.0 31942:1.0 1415:1.0 2006:1.0 2007:1.0 31968:1.0 31969:1.0 31970:1.0 31971:1.0 27928:1.0 27928:1.0 45471:0.5 45471:0.5 32063:1.0 32064:1.0 1108:0.5 1109:0.5 204:1.0 212:1.0 215:1.0 
3,9:1 324:1.0 650:1.0 13988:1.0 57:1.0 1213:1.0 7775:1.0 16486:1.0 17818:1.0 17819:1.0 17820:1.0 17821:1.0 251:1.0 252:1.0 5918:1.0 390:1.0 98:1.0 104:1.0 107:1.0 109:1.0 2934:1.0 2935:1.0 45426:1.0 45427:1.0 45428:1.0 45429:1.0 477:1.0 478:1.0 17708:1.0 17709:1.0 17873:1.0 45442:1.0 45443:1.0 31995:1.0 31995:1.0 6041:0.5 6041:0.5 45489:1.0 45490:1.0 36857:0.5 36858:0.5 204:1.0 216:1.0 
3,3:1 1220:1.0 16491:1.0 17822:1.0 71:1.0 241:1.0 242:1.0 243:1.0 5913:1.0 5914:1.0 5915:1.0 5916:1.0 251:1.0 8754:1.0 8755:1.0 100:1.0 103:1.0 98:0.5 1329:1.0 398:1.0 909:1.0 1712:1.0 1713:1.0 5956:1.0 984:1.0 2302:1.0 4202:1.0 4203:1.0 45456:1.0 45456:1.0 8827:0.5 8827:0.5 6079:1.0 6080:1.0 197:0.5 198:0.5 204:1.0 212:1.0 
10,3:1 248:1.0 249:1.0 5917:1.0 71:1.0 241:1.0 330:1.0 8747:1.0 8748:1.0 8749:1.0 8750:1.0 8751:1.0 92:1.0 4955:1.0 27197:1.0 105:1.0 391:1.0 382:1.0 398:1.0 957:1.0 8764:1.0 8765:1.0 446:1.0 1420:1.0 8775:1.0 6008:1.0 6008:1.0 8853:1.0 8854:1.0 748:0.5 749:0.5 204:1.0 212:1.0 217:1.0 
6,10:1 248:1.0 8752:1.0 8753:1.0 26:1.0 85:1.0 254:1.0 4948:1.0 4949:1.0 27193:1.0 27194:1.0 27195:1.0 275:1.0 819:1.0 820:1.0 1330:1.0 381:1.0 103:0.5 96:1.0 685:1.0 429:1.0 430:1.0 431:1.0 893:1.0 12901:1.0 12902:1.0 471:1.0 2982:1.0 28693:1.0 65794:1.0 65795:1.0 65796:1.0 8802:1.0 8802:1.0 1077:0.5 1077:0.5 5131:0.5 5132:0.5 204:1.0 73125:1.0 776:1.0 
7,6:1 236:1.0 4953:1.0 27196:1.0 264:1.0 265:1.0 811:1.0 812:1.0 813:1.0 814:1.0 815:1.0 816:1.0 383:1.0 95:1.0 683:0.5 413:1.0 460:1.0 1556:1.0 178:1.0 1118:1.0 1119:1.0 1120:0.5 190:0.5 775:1.0 
8,25:1 26:1.0 27:1.0 278:1.0 870:1.0 30832:1.0 30833:1.0 30834:1.0 30835:1.0 44:1.0 1906:1.0 2681:1.0 101:1.0 887:1.0 396:1.0 423:1.0 4772:1.0 471:1.0 7040:1.0 152:1.0 600:0.5 601:0.5 617:1.0 212:1.0 1639:1.0 1640:1.0 213:1.0 
8,8:1 34:1.0 875:1.0 30836:1.0 26:1.0 27:1.0 278:1.0 1899:1.0 2676:1.0 2677:1.0 2678:1.0 2679:1.0 1858:1.0 2881:1.0 2882:1.0 682:1.0 101:1.0 98:0.5 99:1.0 396:1.0 434:1.0 108952:1.0 984:1.0 985:1.0 986:1.0 133768:1.0 3028:0.5 3028:0.5 2455:0.5 2456:0.5 618:1.0 640:1.0 212:1.0 1640:1.0 214:1.0 
3,8:1 34:1.0 1904:1.0 2680:1.0 57:1.0 1848:1.0 1849:1.0 2874:1.0 2875:1.0 2876:1.0 2877:1.0 2878:1.0 327:1.0 1203:1.0 9109:1.0 682:1.0 98:1.0 382:1.0 891:1.0 109:1.0 2934:1.0 2935:1.0 2936:1.0 2937:1.0 471:1.0 2969:1.0 2970:1.0 2971:1.0 2972:1.0 71669:0.5 71669:0.5 3058:1.0 3059:1.0 3060:0.5 3061:0.5 204:1.0 215:1.0 
6,3:1 1855:1.0 2879:1.0 2880:1.0 71:1.0 317:1.0 1195:1.0 1196:1.0 3167:1.0 9105:1.0 9106:1.0 9107:1.0 853:1.0 3145:1.0 3146:1.0 100:1.0 381:1.0 98:0.75 391:0.5 103:0.25 96:1.0 107:1.0 936:1.0 8102:1.0 21024:1.0 71600:1.0 477:1.0 1431:1.0 7977:1.0 71622:1.0 2998:1.0 2998:1.0 3353:0.5 3353:0.5 71688:1.0 71689:1.0 197:0.5 198:0.5 204:1.0 212:1.0 216:1.0 
7,6:1 324:1.0 1201:1.0 9108:1.0 264:1.0 843:1.0 3137:1.0 3138:1.0 3139:1.0 3140:1.0 3141:1.0 3142:1.0 251:1.0 2668:1.0 2669:1.0 383:1.0 95:1.0 1331:0.6666666666666666 381:0.3333333333333333 3225:1.0 3269:1.0 71650:1.0 71650:1.0 6372:0.5 6372:0.5 22527:1.0 3405:1.0 3406:1.0 3407:0.5 190:0.5 
19,7:1 850:1.0 3143:1.0 3144:1.0 71:1.0 241:1.0 2620:1.0 2661:1.0 2662:1.0 2663:1.0 2664:1.0 2665:1.0 350:1.0 351:1.0 352:1.0 97:1.0 389:1.0 395:1.0 404:1.0 2708:1.0 2709:1.0 2710:1.0 1407:1.0 1430:1.0 6285:1.0 6286:1.0 3309:1.0 3309:1.0 22494:1.0 560:0.5 560:0.5 29421:1.0 6409:1.0 6410:1.0 6411:0.5 6412:0.5 6425:1.0 
9,19:1 248:1.0 2666:1.0 2667:1.0 264:1.0 340:1.0 341:1.0 342:1.0 343:1.0 344:1.0 345:1.0 346:1.0 660:1.0 1205:1.0 1206:1.0 388:1.0 391:0.8571428571428571 683:0.7142857142857143 102:0.5714285714285714 98:0.42857142857142855 101:0.2857142857142857 103:0.14285714285714285 387:1.0 398:1.0 434:1.0 435:1.0 143:1.0 482:1.0 6330:1.0 6330:1.0 29416:1.0 1511:0.5 1511:0.5 27420:1.0 743:1.0 607:1.0 744:0.5 745:0.5 204:1.0 212:1.0 
5,9:1 347:1.0 348:1.0 349:1.0 26:1.0 220:1.0 221:1.0 222:1.0 223:1.0 224:1.0 225:1.0 226:1.0 92:1.0 239:1.0 240:1.0 390:1.0 379:1.0 1331:0.6666666666666666 381:0.3333333333333333 99:1.0 395:1.0 399:1.0 400:1.0 444:1.0 445:1.0 524:1.0 524:1.0 27403:1.0 138343:0.5 138343:0.5 1568:1.0 572:1.0 744:0.5 745:0.5 204:1.0 212:1.0 775:1.0 
4,5:1 227:1.0 228:1.0 229:1.0 26:1.0 85:1.0 230:1.0 231:1.0 232:1.0 233:1.0 10406:1.0 22990:1.0 44:1.0 377:1.0 378:1.0 380:1.0 98:1.0 103:0.5 107:1.0 109:1.0 1962:1.0 71880:1.0 126378:1.0 126379:1.0 138318:1.0 1426:1.0 13515:1.0 138320:1.0 138321:1.0 138322:1.0 138323:1.0 493:1.0 493:1.0 39023:0.5 39023:0.5 138361:1.0 1575:0.5 1576:0.5 204:1.0 212:1.0 4403:1.0 
11,4:1 236:1.0 237:1.0 238:1.0 26:1.0 27:1.0 47:1.0 372:1.0 373:1.0 374:1.0 375:1.0 376:1.0 100:1.0 2289:1.0 38961:1.0 12592:1.0 38974:1.0 138327:1.0 138327:1.0 39025:1.0 178:1.0 39036:1.0 39037:1.0 39038:0.5 3442:0.5 621:1.0 6802:1.0 
1,25:1 26:1.0 27:1.0 28:1.0 37:1.0 38:1.0 39:1.0 40:1.0 41:1.0 44:1.0 1321:1.0 8094:1.0 111:1.0 112:1.0 113:1.0 114:1.0 115:1.0 116:1.0 117:1.0 118:1.0 119:1.0 120:1.0 132:1.0 133:1.0 134:1.0 135:1.0 136:1.0 137:1.0 138:1.0 139:1.0 140:1.0 141:1.0 152:1.0 1751:1.0 47728:0.5 49060:1.0 184:1.0 1831:1.0 765:1.0 205:1.0 213:1.0 
20,1:1 34:1.0 42:1.0 43:1.0 26:1.0 27:1.0 47:1.0 1314:1.0 3197:1.0 8091:1.0 8092:1.0 8093:1.0 251:1.0 2628:1.0 2629:1.0 9898:1.0 423:1.0 689:1.0 34366:1.0 34367:1.0 1407:1.0 1430:1.0 17304:1.0 17305:1.0 158:1.0 49047:1.0 2786:0.5 2787:0.5 47744:1.0 596:0.5 597:0.5 618:1.0 2849:1.0 214:1.0 
19,20:1 34:1.0 1319:1.0 9004:1.0 71:1.0 241:1.0 2620:1.0 2621:1.0 2622:1.0 2623:1.0 2624:1.0 2625:1.0 1858:1.0 2638:1.0 9892:1.0 1329:1.0 396:1.0 1338:1.0 2687:1.0 2688:1.0 143:1.0 2721:1.0 2722:1.0 47702:1.0 9954:0.5 9954:0.5 45378:1.0 2822:1.0 2823:1.0 2824:0.5 2825:0.5 618:1.0 215:1.0 
10,19:1 248:1.0 2626:1.0 2627:1.0 57:1.0 1848:1.0 2630:1.0 2631:1.0 9887:1.0 9888:1.0 9889:1.0 9890:1.0 350:1.0 1930:1.0 1931:1.0 391:1.0 381:0.75 103:0.5 98:0.25 389:1.0 1332:1.0 1372:1.0 6823:1.0 9908:1.0 9909:1.0 9910:1.0 148:1.0 2963:1.0 9921:1.0 9922:1.0 9923:1.0 2758:1.0 2759:1.0 45361:1.0 2078:0.5 2078:0.5 9973:1.0 9974:1.0 1116:0.5 1117:0.5 204:1.0 212:1.0 216:1.0 
9,10:1 1855:1.0 2636:1.0 9891:1.0 264:1.0 340:1.0 341:1.0 1923:1.0 1924:1.0 1925:1.0 1926:1.0 1927:1.0 660:1.0 1205:1.0 1206:1.0 1330:1.0 388:1.0 391:0.75 683:0.5 101:0.25 387:1.0 398:1.0 434:1.0 1967:1.0 1415:1.0 2011:1.0 9937:1.0 9937:1.0 1511:0.5 1511:0.5 5680:1.0 2109:1.0 2110:1.0 744:0.5 745:0.5 204:1.0 212:1.0 
5,9:1 347:1.0 1928:1.0 1929:1.0 26:1.0 220:1.0 221:1.0 222:1.0 223:1.0 224:1.0 225:1.0 226:1.0 92:1.0 93:1.0 801:1.0 390:1.0 379:1.0 1331:0.6666666666666666 381:0.3333333333333333 99:1.0 395:1.0 399:1.0 400:1.0 444:1.0 445:1.0 2047:1.0 2047:1.0 5653:1.0 41946:0.5 41946:0.5 1568:1.0 572:1.0 744:0.5 745:0.5 204:1.0 212:1.0 
4,5:1 227:1.0 228:1.0 229:1.0 26:1.0 85:1.0 86:1.0 87:1.0 795:1.0 796:1.0 11113:1.0 11114:1.0 92:1.0 93:1.0 801:1.0 380:1.0 98:1.0 99:1.0 106:1.0 954:1.0 1363:1.0 7002:1.0 41863:1.0 41864:1.0 41865:1.0 148:1.0 6561:1.0 30876:1.0 41881:1.0 41882:1.0 41883:1.0 493:1.0 493:1.0 68003:0.5 68003:0.5 41962:1.0 41963:1.0 1575:0.5 1576:0.5 204:1.0 774:1.0 212:1.0 
4,4:1 236:1.0 799:1.0 800:1.0 26:1.0 85:1.0 86:1.0 87:1.0 795:1.0 796:1.0 11366:1.0 11367:1.0 44:1.0 377:1.0 378:1.0 100:1.0 98:1.0 106:1.0 434:1.0 1967:1.0 5212:1.0 5213:1.0 5214:1.0 32596:1.0 67960:1.0 67961:1.0 7260:1.0 14432:1.0 67970:1.0 67971:1.0 67972:1.0 67973:1.0 67974:1.0 67975:1.0 41915:1.0 41915:1.0 3397:0.5 3397:0.5 68020:1.0 752:0.5 753:0.5 204:1.0 212:1.0 
11,4:1 236:1.0 799:1.0 800:1.0 26:1.0 27:1.0 47:1.0 372:1.0 373:1.0 374:1.0 3219:1.0 3220:1.0 251:1.0 2899:1.0 2900:1.0 100:1.0 889:1.0 2289:1.0 3253:1.0 142:1.0 3295:1.0 67987:1.0 67987:1.0 3032:0.5 3032:0.5 3439:1.0 3440:1.0 3441:0.5 3442:0.5 621:1.0 
13,11:1 34:1.0 2203:1.0 3221:1.0 71:1.0 241:1.0 298:1.0 2892:1.0 2893:1.0 2894:1.0 2895:1.0 2896:1.0 251:1.0 1184:1.0 2221:1.0 888:1.0 388:0.75 391:0.5 381:0.25 389:1.0 891:1.0 109:1.0 2942:1.0 2943:1.0 703:1.0 2977:1.0 2978:1.0 3351:1.0 3351:1.0 2436:0.5 2436:0.5 63147:1.0 3064:1.0 3065:1.0 748:0.5 749:0.5 204:1.0 
9,13:1 248:1.0 2897:1.0 2898:1.0 71:1.0 241:1.0 298:1.0 1177:1.0 2216:1.0 2217:1.0 2218:1.0 2219:1.0 68:1.0 69:1.0 70:1.0 890:1.0 388:1.0 381:0.5 387:1.0 398:1.0 1355:1.0 2282:1.0 143:1.0 2336:1.0 3002:1.0 3002:1.0 63125:1.0 1504:0.5 171:0.5 37613:1.0 2483:1.0 2484:1.0 744:0.5 745:0.5 204:1.0 19194:1.0 212:1.0 
2,9:1 248:1.0 1182:1.0 2220:1.0 57:1.0 58:1.0 59:1.0 60:1.0 61:1.0 62:1.0 63:1.0 64:1.0 1223:1.0 7783:1.0 7784:1.0 390:1.0 379:1.0 98:0.8 101:0.6 684:0.4 102:0.2 104:1.0 122:1.0 143:1.0 2389:1.0 2389:1.0 37582:1.0 15613:0.5 15613:0.5 27141:1.0 1557:1.0 192:1.0 1558:0.5 1559:0.5 620:1.0 
